item_code,description,brand,model,category,sub_category,module_size,grid_frame_mrp,icy_white_mrp,chamagne_gold_mrp,silky_silver_mrp,midnight_black_mrp,oceanic_green_mrp,matte_mirror_mrp
L&TENZ1077,1 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Glass Plate,1M,92,1338,1338,1338,1338,1338,1338
L&TENZ1078,2 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Glass Plate,2M,92,1515,1515,1515,1515,1515,1515
L&TENZ1079,3 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Glass Plate,3M,117,1630,1630,1630,1630,1630,1630
L&TENZ1080,4 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Glass Plate,4M,139,2112,2112,2112,2112,2112,2112
L&TENZ1081,6 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Glass Plate,6M,216,2481,2481,2481,2481,2481,2481
L&TENZ1082,8 Module Cover Plate  Horizontal  without Grid Frame,L&T,Englaze,Plates,Glass Plate,8MH,256,2812,2812,2812,2812,2812,2812
L&TENZ1083,8 Module Cover Plate  Square  without Grid Frame,L&T,Englaze,Plates,Glass Plate,8MS,256,2812,2812,2812,2812,2812,2812
L&TENZ1084,12 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Glass Plate,12M,350,4374,4374,4374,4374,4374,4374
L&TENZ1085,16 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Glass Plate,16M,454,4501,4501,4501,4501,4501,4501
L&TENZ1086,18 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Glass Plate,18M,505,4881,4881,4881,4881,4881,4881
