item_code,description,brand,model,category,sub_category,module_size,grid_frame_mrp,metallic_gold_mrp,brush_silver_mrp,jet_black_mrp
L&TENZ1067,1 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Glass Plate,1M,92,2434,2434,2318
L&TENZ1068,2 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Metal Plates,2M,92,2663,2663,2536
L&TENZ1069,3 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Metal Plates,3M,117,3133,3133,2984
L&TENZ1070,4 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Metal Plates,4M,139,3493,3493,3327
L&TENZ1071,6 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Metal Plates,6M,216,4303,4303,4098
L&TENZ1072,8 Module Cover Plate  Horizontal  without Grid Frame,L&T,Englaze,Plates,Metal Plates,8MH,256,5122,5122,4878
L&TENZ1073,8 Module Cover Plate  Square  without Grid Frame,L&T,Englaze,Plates,Metal Plates,8MS,256,5804,5804,5528
L&TENZ1074,12 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Metal Plates,12M,350,8717,8717,8302
L&TENZ1075,16 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Metal Plates,16M,454,11143,11143,10612
L&TENZ1076,18 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Metal Plates,18M,505,14285,14285,13605
