item_code,description,brand,model,category,sub_category,module_size,snow_white_mrp,mountain_grey_mrp,sparkle_black_mrp
L&TENZ1001,Switch 10AX 1-way 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,215,246,246
L&TENZ1002,Switch 10AX 1-waywith Indicator 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,411,516,516
L&TENZ1003,Switch 10AX 2-way 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,392,487,487
L&TENZ1004,Switch 16AX 1-way 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,416,519,519
L&TENZ1005,Switch 16AX 1-way with Indicator 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,499,625,625
L&TENZ1006,Switch 16AX 2-way 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,499,625,625
L&TENZ1007,Switch 25A 1-way 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,573,712,712
L&TENZ1008,Switch 25A 1-way with Indicator 1M,L&T,Englaze,Switches,Soft Feel Switches,1M,693,866,866
L&TENZ1009,Switch 20A DP with Indicator 2M,L&T,Englaze,Switches,Mega Switches,2M,847,1062,0
L&TENZ1010,Switch 32A DP with Indicator 2M,L&T,Englaze,Switches,Mega Switches,2M,1014,1268,1268
L&TENZ1011,Switch 10AX 1-way 2M,L&T,Englaze,Switches,Mega Switches,2M,351,439,0
L&TENZ1012,Switch 10AX 1-way with Indicator 2M,L&T,Englaze,Switches,Mega Switches,2M,469,591,0
L&TENZ1013,Switch 10AX 2-way 2M,L&T,Englaze,Switches,Mega Switches,2M,424,533,0
L&TENZ1014,Switch 16AX 1-way 2M,L&T,Englaze,Switches,Mega Switches,2M,524,654,0
L&TENZ1015,Switch 16AX 1-way with Indicator 2M,L&T,Englaze,Switches,Mega Switches,2M,631,789,0
L&TENZ1016,Switch 16AX 2-way 2M,L&T,Englaze,Switches,Mega Switches,2M,601,751,0
L&TENZ1017,Switch 20A 1-way 2M,L&T,Englaze,Switches,Mega Switches,2M,653,816,0
L&TENZ1018,Switch 20A 1-way with Indicator 2M,L&T,Englaze,Switches,Mega Switches,2M,789,987,0
L&TENZ1019,Switch 20A 2-way 2M,L&T,Englaze,Switches,Mega Switches,2M,751,940,0
L&TENZ1020,Soft Feel Bell Push 10AX 1-way 1M,L&T,Englaze,Switches,Bell Push,1M,408,511,511
L&TENZ1021,Soft Feel Bell Push 10AX 1-way with Ind 1M,L&T,Englaze,Switches,Bell Push,1M,471,588,588
L&TENZ1022,Bell Push 10AX 2M,L&T,Englaze,Switches,Bell Push,2M,505,529,629
L&TENZ1023,Bell Push 10AX with Indicator 2M,L&T,Englaze,Switches,Bell Push,2M,576,723,723
L&TENZ1024,Motor Starter 25A 2M,L&T,Englaze,Switches,Motor Starter,2M,1534,1917,1917
