item_code,description,brand,model,category,sub_category,module_size,grid_frame_mrp,mocha_wood_mrp,beige_wood_mrp,oak_wood_mrp
L&TENZ1057,1 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Wood Plates,1M,92,2161,2161,2161
L&TENZ1058,2 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Wood Plates,2M,92,2394,2394,2394
L&TENZ1059,3 Module Cover Plate without Grid Frame,L&T,Englaze,Plates,Wood Plates,3M,117,2842,2842,2842
L&TENZ1060,4 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Wood Plates,4M,139,3054,3054,3054
L&TENZ1061,6 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Wood Plates,6M,216,3251,3251,3251
L&TENZ1062,8 Module Cover Plate  Horizontal  without Grid Frame,L&T,Englaze,Plates,Wood Plates,8MH,256,3549,3549,3549
L&TENZ1063,8 Module Cover Plate  Square  without Grid Frame,L&T,Englaze,Plates,Wood Plates,8MS,256,4014,4014,4014
L&TENZ1064,12 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Wood Plates,12M,350,6002,6002,6002
L&TENZ1065,16 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Wood Plates,16M,454,6784,6784,6784
L&TENZ1066,18 Module Cover Plate  without Grid Frame,L&T,Englaze,Plates,Wood Plates,18M,505,7392,7392,7392
