item_code,description,brand,model,category,module_size,white_mrp,dark_grey
BS110,Switch 6A One Way,Wipro,Venia,Switch,1M,135,160
BS120,Switch 10A One Way,Wipro,Venia,Switch,1M,135,160
BS111,Switch 6A One Way with Indicator,Wipro,Venia,Switch,1M,225,280
BS210,Switch 6A Two Way,Wipro,Venia,Switch,1M,215,265
BS220,10A 2way,Wipro,Venia,Switch,1M,220,270
BS130, Switch 16A ONE WAY ,Wipro,Venia,Switch,1M,240,295
BS230,16A 2 Way Switch without indicator,Wipro,Venia,Switch,1M,305,360
BS131,Switch 16A One way with Indicator,Wipro,Venia,Switch,1M,315,375
BS160,Switch 20A One way,Wipro,Venia,Switch,1M,240,295
BS161,Switch 20A One way with indicator,Wipro,Venia,Switch,1M,265,320
BS150,Switch 25A One way,Wipro,Venia,Switch,1M,245,295
B0151,Switch 25A One way with indicator,Wipro,Venia,Switch,1M,345,420
B0551,Switch 32A 1 Way With Indicator - DP,Wipro,Venia,Switch,2M,660,795
BS310,Bell Push 6A,Wipro,Venia,Switch,1M,215,265
BS311,6A Bell Push Switch with Indicator 1M,Wipro,Venia,Switch,1M,305,370
B0341,6A Bell Push Switch with Indicator-palm,Wipro,Venia,Switch,2M,355,425
B1212,Socket 6A 3 Pin With Round Pin,Wipro,Venia,Sockets,2M,225,270
B1332,Socket 6-16A 3 Pin Power,Wipro,Venia,Sockets,2M,380,455
B1352,6/16A 6 Pin Heavy Duty- Power,Wipro,Venia,Sockets,2M,460,550
B1700, Fan Regulator 4+1 Position Stap Type 360*,Wipro,Venia,Fan Regulators,1M,670,805
B1900, Fan Regulator 5+1 Position Stap Type 360*,Wipro,Venia,Fan Regulators,1M,810,975
B4900,Telephone Socket with Single Shutter RJ11,Wipro,Venia,Communication and Support Modules,1M,260,320
B4797,Co-Axial Tv Socket 1 Point,Wipro,Venia,Communication and Support Modules,1M,265,325
B5200,Computer Socket With Shutter -RJ-45 Cat 6,Wipro,Venia,Communication and Support Modules,1M,785,860
B5310,Computer Socket With Shutter -RJ-45 Cat 6A UTP,Wipro,Venia,Communication and Support Modules,1M,855,970
B4600,Venia Indicator lamp,Wipro,Venia,Communication and Support Modules,1M,220,265
B4921,2A USB Changer,Wipro,Venia,Communication and Support Modules,1M,1300,1560
B4922,2.4A Type A+C Comb Charger,Wipro,Venia,Communication and Support Modules,1M,3160,3795
B4500,Cord Outlet,Wipro,Venia,Communication and Support Modules,1M,190,225
B3900,Blanking Plate,Wipro,Venia,Communication and Support Modules,1M,65,80
BBP911,1 M Plate With Frame,Wipro,Venia,Plates,1M,150,180
BP922,2 M Plate  With Frame,Wipro,Venia,Plates,2M,150,180
BP933,3 M Plate  With Frame(RIB),Wipro,Venia,Plates,3M,185,225
BP944,4 M Plate  With Frame,Wipro,Venia,Plates,4M,235,285
BP956,6 M Plate  With Frame,Wipro,Venia,Plates,6M,315,370
BP968H,8 MH Plate With Frame (Horizontal),Wipro,Venia,Plates,8M,365,840
BP968S,8 MS Plate With Frame (Square),Wipro,Venia,Plates,8M,385,465
BP969H,9 MS Plate With Frame  (Horizontal),Wipro,Venia,Plates,9M,435,525
 ,12 M Plate With Frame,Wipro,Venia,Plates,12M,530,640
BP9716S,16 M Plate With Frame,Wipro,Venia,Plates,16M,730,885
BP9718S,18 M Plate With Frame,Wipro,Venia,Plates,18M,805,965
6A-32A-SINGLE ,6A -32A Singal Pole Tiny Trip,Wipro,Venia,TT and MS,0,575,705
6A-32A-DOUBLE,6A -32A Double Pole Tiny Trip,Wipro,Venia,TT and MS,0,1275,1575
25A MOTOR STATER,"20A, 25A Motor Stater Single Phase ",Wipro,Venia,TT and MS,0,1295,1560
